卡号,交易日期,交易时间,站点名称,行业名称,交易金额,交易性质
602141128,2015-04-01,07:51:08,1号线莘庄,地铁,0.00,非优惠
602141128,2015-04-01,09:07:57,11号线昌吉东路,地铁,6.00,优惠
2201252167,2015-04-01,19:20:33,7号线场中路,地铁,4.00,非优惠
2201252167,2015-04-01,08:55:44,1号线陕西南路,地铁,4.00,非优惠
2201252167,2015-04-01,18:43:14,1号线陕西南路,地铁,0.00,非优惠
2201252167,2015-04-01,08:19:00,7号线上大路,地铁,0.00,非优惠
2001530605,2015-04-01,09:28:17,10号线国权路,地铁,5.00,非优惠
2001530605,2015-04-01,18:29:43,10号线国权路,地铁,0.00,非优惠
2001530605,2015-04-01,19:15:59,2号线金科路,地铁,5.00,非优惠
2001530605,2015-04-01,08:41:14,2号线广兰路,地铁,0.00,非优惠
101438819,2015-04-01,19:02:48,8号线大世界,地铁,0.00,非优惠
101438819,2015-04-01,16:44:23,7号线行知路,地铁,0.00,非优惠
101438819,2015-04-01,15:53:13,7号线行知路,地铁,4.00,非优惠
101438819,2015-04-01,19:59:09,3号线宝杨路,地铁,5.00,非优惠
101438819,2015-04-01,15:15:35,1号线黄陂南路,地铁,0.00,非优惠
101438819,2015-04-01,17:17:11,1号线黄陂南路,地铁,4.00,非优惠
101438819,2015-04-01,14:34:52,1号线黄陂南路,地铁,3.00,优惠
740892727,2015-04-01,16:46:43,7号线静安寺,地铁,0.00,非优惠
740892727,2015-04-01,13:47:35,7号线静安寺,地铁,3.00,非优惠
740892727,2015-04-01,17:02:06,4号线东安路,地铁,3.00,非优惠
740892727,2015-04-01,16:08:05,7号线静安寺,地铁,0.00,优惠
740892727,2015-04-01,16:48:38,7号线静安寺,地铁,0.00,非优惠
740892727,2015-04-01,13:37:05,4号线东安路,地铁,0.00,非优惠
100405844,2015-04-01,12:43:24,11号线祁连山路,地铁,4.00,非优惠
100405844,2015-04-01,18:22:04,11号线枫桥路,地铁,3.00,非优惠
100405844,2015-04-01,08:21:18,2号线娄山关路,地铁,3.00,非优惠
100405844,2015-04-01,12:07:31,2号线娄山关路,地铁,0.00,非优惠
100405844,2015-04-01,18:08:42,11号线祁连山路,地铁,0.00,非优惠
100405844,2015-04-01,08:00:46,3号线曹杨路,地铁,0.00,非优惠
501275673,2015-04-01,13:10:26,2号线南京西路,地铁,4.00,非优惠
501275673,2015-04-01,15:11:11,1号线呼兰路,地铁,4.00,非优惠
501275673,2015-04-01,14:40:17,1号线人民广场,地铁,0.00,非优惠
501275673,2015-04-01,12:29:18,1号线呼兰路,地铁,0.00,非优惠
2903121647,2015-04-01,20:20:47,3号线上海南站,地铁,5.00,非优惠
2903121647,2015-04-01,19:43:24,5号线剑川路,地铁,0.00,非优惠
2802355091,2015-04-01,08:57:02,8号线人民广场,地铁,4.00,非优惠
2802355091,2015-04-01,08:25:00,8号线嫩江路,地铁,0.00,非优惠
3002779092,2015-04-01,07:23:50,3号线中潭路,地铁,0.00,非优惠
3002779092,2015-04-01,07:44:36,4号线浦东大道,地铁,4.00,非优惠
3003909246,2015-04-01,12:50:10,2号线东昌路,地铁,4.00,非优惠
3003909246,2015-04-01,15:15:59,1号线共康路,地铁,1.00,非优惠
3003909246,2015-04-01,14:55:34,1号线上海火车站,地铁,0.00,非优惠
3003909246,2015-04-01,14:48:13,3号线上海火车站,地铁,4.00,非优惠
3003909246,2015-04-01,12:06:55,1号线共康路,地铁,0.00,非优惠
3003909246,2015-04-01,14:20:50,6号线蓝村路,地铁,0.00,非优惠
2601377141,2015-04-01,08:23:50,1号线莘庄,地铁,0.00,非优惠
2601377141,2015-04-01,18:43:00,8号线人民广场,地铁,0.00,非优惠
2601377141,2015-04-01,19:18:30,1号线莘庄,地铁,4.00,非优惠
2601377141,2015-04-01,09:01:25,8号线人民广场,地铁,3.00,优惠
2402935169,2015-04-01,17:44:42,5号线银都路,地铁,0.00,非优惠
2402935169,2015-04-01,08:21:40,5号线剑川路,地铁,0.00,非优惠
2402935169,2015-04-01,17:59:59,5号线剑川路,地铁,3.00,非优惠
2402935169,2015-04-01,08:35:43,5号线银都路,地铁,2.00,优惠
3001921621,2015-04-01,08:50:08,7号线长寿路,地铁,4.00,非优惠
3001921621,2015-04-01,08:17:26,9号线商城路,地铁,0.00,非优惠
3001921621,2015-04-01,18:33:44,7号线长寿路,地铁,0.00,非优惠
3001921621,2015-04-01,19:05:48,9号线商城路,地铁,4.00,非优惠
2803059049,2015-04-01,18:20:04,6号线临沂新村,地铁,4.00,非优惠
2803059049,2015-04-01,17:58:11,7号线花木路,地铁,0.00,非优惠
3003733548,2015-04-01,15:41:25,2号线静安寺,地铁,3.00,非优惠
3003733548,2015-04-01,15:58:18,2号线南京西路,地铁,3.00,非优惠
3003733548,2015-04-01,10:17:11,12号线提篮桥,地铁,0.00,非优惠
3003733548,2015-04-01,15:51:34,2号线静安寺,地铁,0.00,非优惠
3003733548,2015-04-01,17:25:56,2号线南京西路,地铁,0.00,非优惠
3003733548,2015-04-01,12:09:07,10号线伊犁路,地铁,0.00,非优惠
3003733548,2015-04-01,12:35:01,4号线大木桥路 ,地铁,4.00,非优惠
3003733548,2015-04-01,15:18:35,9号线打浦桥,地铁,0.00,非优惠
3003733548,2015-04-01,17:58:51,12号线提篮桥,地铁,3.00,非优惠
3003733548,2015-04-01,10:55:45,10号线伊犁路,地铁,4.00,非优惠
201459672,2015-04-01,21:22:27,4号线浦电路,地铁,0.00,非优惠
201459672,2015-04-01,07:41:28,8号线芦恒路,地铁,0.00,非优惠
201459672,2015-04-01,21:58:11,8号线芦恒路,地铁,4.00,非优惠
201459672,2015-04-01,08:21:08,4号线浦电路,地铁,4.00,非优惠
3000925774,2015-04-01,18:00:53,1号线莲花路,地铁,4.00,非优惠
3000925774,2015-04-01,09:11:11,1号线汉中路,地铁,3.00,优惠
3000925774,2015-04-01,17:29:41,1号线汉中路,地铁,0.00,非优惠
3000925774,2015-04-01,08:39:56,1号线莲花路,地铁,0.00,非优惠
2702260522,2015-04-01,08:18:20,7号线常熟路,地铁,4.00,非优惠
2702260522,2015-04-01,07:55:47,6号线高科西路,地铁,0.00,非优惠
2702260522,2015-04-01,18:28:19,7号线常熟路,地铁,0.00,非优惠
2104687737,2015-04-01,15:55:06,3号线漕溪路,地铁,0.00,非优惠
2104687737,2015-04-01,16:42:29,7号线肇嘉浜路,地铁,3.00,非优惠
2104687737,2015-04-01,07:23:07,11号线龙华,地铁,4.00,非优惠
2104687737,2015-04-01,14:54:52,3号线龙漕路,地铁,0.00,非优惠
2104687737,2015-04-01,15:05:53,3号线漕溪路,地铁,3.00,非优惠
2104687737,2015-04-01,06:56:14,8号线凌兆新村,地铁,0.00,非优惠
2603886891,2015-04-01,12:56:48,16号线鹤沙航城,地铁,4.00,非优惠
2603886891,2015-04-01,12:29:39,16号线龙阳路,地铁,0.00,非优惠
3600181332,2015-04-01,08:49:00,11号线枫桥路,地铁,0.00,非优惠
3600181332,2015-04-01,09:09:25,2号线静安寺,地铁,2.00,优惠
400914400,2015-04-01,12:24:19,13号线金沙江路,地铁,0.00,非优惠
400914400,2015-04-01,12:46:45,3号线宝山路,地铁,4.00,非优惠
400914400,2015-04-01,15:58:03,3号线宝山路,地铁,0.00,非优惠
400914400,2015-04-01,16:17:45,13号线金沙江路,地铁,4.00,非优惠
