消息序列	级别	类型	发布区间数	发布区域	开始时间	结束时间	发布内容	MESSAGE_TARGET	PERIOD_FLAG	影响时间	延误日期	范围类型(1车站，3方向，4区间)	事发时间（小时）	事发时间（分钟）	开始站点	结束站点	范围的描述	ERROR_REASON	ERROR_STATUS	线路编号	三色状态（1为绿，2为黄，3为红）		
2010987	COCC级	0013 	1	0640	2014/4/30 8:29:12	2014/4/30 8:34:12	 	TF0002,MX0001,B00000,IP0001	1	5分钟以上	2014-04-30	3	7	10	东靖路	金桥路	东靖路往金桥路方向	！客流量大	目前已采取进站限流措施	06	2		
2010986	COCC级	0013 	1	0641	2014/4/30 8:29:12	2014/4/30 8:34:12	 	TF0002,MX0001,B00000,IP0001	1	5分钟以上	2014-04-30	3	7	10	东靖路	金桥路	东靖路往金桥路方向	！客流量大	目前已采取进站限流措施	06	2		
2010985	COCC级	0013 	1	0642	2014/4/30 8:29:12	2014/4/30 8:34:12	 	TF0002,MX0001,B00000,IP0001	1	5分钟以上	2014-04-30	3	7	10	东靖路	金桥路	东靖路往金桥路方向	！客流量大	目前已采取进站限流措施	06	2		
2010988	COCC级	0013 	1	0639	2014/4/30 8:29:12	2014/4/30 8:34:12	 	TF0002,MX0001,B00000,IP0001	1	5分钟以上	2014-04-30	3	7	10	东靖路	金桥路	东靖路往金桥路方向	！客流量大	目前已采取进站限流措施	06	2		
2011000	COCC级	0013 	1	0131	2014/4/30 8:29:12	2014/4/30 8:34:12	 	TF0002,MX0001,B00000,IP0001	1	5分钟以上	2014-04-30	1	7	45	彭浦新村	彭浦新村	彭浦新村	！客流量大	目前已采取进站限流措施	01	2		
2010999	COCC级	0013 	1	0111	2014/4/30 8:29:12	2014/4/30 8:34:12	 	TF0002,MX0001,B00000,IP0001	1	5分钟以上	2014-04-30	1	7	30	莘庄	莘庄	莘庄	！客流量大	目前已采取进站限流措施	01	2		
2010989	COCC级	0013 	1	0638	2014/4/30 8:29:12	2014/4/30 8:34:12	 	TF0002,MX0001,B00000,IP0001	1	5分钟以上	2014-04-30	3	7	10	东靖路	金桥路	东靖路往金桥路方向	！客流量大	目前已采取进站限流措施	06	2		
2011250	COCC级	0013 	1	0641	2014/4/30 8:29:42	2014/4/30 8:34:42		TF0002,MX0001,B00000,IP0001	1		2014-04-30	3	8	29	东靖路	金桥路	东靖路往金桥路方向	！客流量大	目前已采取进站限流措施	06	1		
2011249	COCC级	0013 	1	0642	2014/4/30 8:29:42	2014/4/30 8:34:42		TF0002,MX0001,B00000,IP0001	1		2014-04-30	3	8	29	东靖路	金桥路	东靖路往金桥路方向	！客流量大	目前已采取进站限流措施	06	1		
2011248	COCC级	0013 	1	0111	2014/4/30 8:29:42	2014/4/30 8:34:42		TF0002,MX0001,B00000,IP0001	1		2014-04-30	1	8	29	莘庄	莘庄	莘庄	！客流量大	目前已采取进站限流措施	01	1		
