ST_NO,"FACILITY_DESCP","TYPE","TOILET_INSIDE","FACILITY_DESCP_EN"			
0111,"北出入口外","1","0","Outside the north entrance"			
0111,"南出入口:梅陇西路都市路,北一出入口:莘建东路水清南路,北二出入口:莘建东路水清南路","2","","South Exit:West Meilong Rd Dushi Rd,North Exit 1:East Xinjian Rd South Shuiqing Rd,North Exit 2:East Xinjian Rd South Shuiqing Rd"			
0111,"1号线:直升梯  地面-站台  北2号口客服中心旁  北出入口楼梯口","3","","Line 1:Helicopter ladder  The ground to the platform  North no. 2 mouth near the customer service center  North entrance stairway"			
0112,"北2出入口:沪闵路 虹莘路 龙茗路 报春路 新梅广场 新梅公寓 新梅花苑 沪闵高架路,南1出入口:罗锦路 梅陇西路 ","2","","North Exit 2:Humin Rd Hongxin Rd Longming Rd Baochun Rd Xinmei Plaza Xinmei Apartment Xinmei Flower Garden Humin Elevated Rd,South Exit 1:Luojin Rd West Meilong Rd"			
0112,"1号线:站外  北出入口外","1","0","Line 1:Outside of a station  Outside the north entrance"			
0112,"1号无障碍直升电梯 北2号口出入口（站外）直达莘庄方向站台,2号无障碍斜挂梯 北通道进口,3号无障碍斜挂梯 南1出入口(东通道内）直达富锦路站台","3","","Accessible Lift 1:North Exit 2 to platform towards Xinzhuang Station ,Accessible Lift 2:entrance of north passage,Accessible Lift 3: 1South Exit 1 to Fujin Road Station platform"			
0113,"1号线:站外  3号出入口外","1","0","Line 1:Outside of a station  3 entrance outside"			
0113,"北2口:沪闵路古方路,北3口:泸闵路万源路 ,南1口:梅陇西路莲花路,南2口:梅陇西路罗秀路 ,南3口:梅陇西路罗秀路","2","","North Exit 2:Humin Rd Gufang Rd,North Exit 3:Humin Rd Wanyuan Rd,South Exit 1:West Meilong Rd Lianhua Rd,South Exit 2:West Meilong Rd Luoxiu Rd,South Exit 3:West Meilong Rd Luoxiu Rd"			
0113,"1号线:直升梯  地面-站台  南1号出入口旁  北出入口全家超市旁","3","","Line 1:Helicopter ladder  The ground to the platform  Near the south Exit 1  North entrance near family"			
0114,"1号线:站外  1号出入口外","1","0","Line 1:Outside of a station  1 entrance outside"			
0114,"北1出口:沪闵路 上海西南汽车站 虹梅商务大厦 锦江乐园,北2出口:桂江路 上海西南汽车站 虹梅商务大厦 锦江乐园","2","","North Exit 1:Humin Rd Shanghai southwest bus station Hong Mei Business Building Jinjiang Action Park,North Exit 2:Guijiang Rd Shanghai southwest bus station Hong Mei Business Building Jinjiang Action Park"			
0114,"1号线:直升梯  地面-站厅  北2号出入口客服中心旁,1号线:直升梯  站厅-站台  往莘庄方向站台车尾","3","","Line 1:Helicopter ladder  The ground station hall  North 2 entrances near the customer service center,Line 1:Helicopter ladder  Xinzhuang direction to the rear of the platform"			
0115,"1号口:石龙路 上海长途客运南站,2号口:石龙路,3号口:石龙路,4号口:上海南站火车站北广场,5号口:沪闵路 动力北一路 上海南站 上海长途客运南站,6号口:柳州路 上海南站 上海长途客运南站","2","","Exit 1:Shilong Rd Shanghai Long-Distance Passenger Transport South Station,Exit 2:Shilong Rd,Exit 3:Shilong Rd,Exit 4:Shanghai South Railway Station North Square,Exit 5:Humin Rd North Dongli 1st Rd Shanghai South Railway Station Shanghai Long-Distance Passenger Transport South Station,Exit 6:Liuzhou Rd Shanghai South Railway Station Shanghai Long-Distance Passenger Transport South Station"			
0115,"1号线:付费区  往莘庄方向站台车尾,3号线:付费区  往江阳北路方向站台车头","1","0,1","Line 1:Pay Zone  Xinzhuang direction to the rear of the platform,Line 3:Pay Zone  North Jiangyang Rd direction to the front of the platform"			
0115,"1号线:直升梯  地面-站厅  6号出入口,1号线:直升梯  站厅-站台  往莘庄方向站台车尾","3","","Line 1:Helicopter ladder  The ground station hall  Exit 6,Line 1:Helicopter ladder  The station hall to the platform  Xinzhuang direction to the rear of the platform"			
0116,"","1","",""			
0116,"1号口:漕宝路 沪闵路,2号口:漕溪路 龙漕路 航天大厦 漕溪公园 上海龙华殡仪馆,3号口:漕东支路 龙漕路 上海市汇知学校 上海市徐汇职业高级中学,4号口:龙漕路 三江路,5号口:沪闵路,","2","","Exit 1:Caobao Rd Humin Rd,Exit 2:Caoxi Rd Longcao Rd Hangtian Buliding Caoxi Park Shanghai Longhua Funeral House,Exit 3:Caodong Branch Rd Longcao Rd Shanghai Huizhi School Shanghai Xuhui Occupation Senior High School,Exit 4:Longcao Rd Sanjiang Rd,Exit 5:Humin Rd,"			
0116,"1号线:直升梯  站厅-站台  往莘庄方向站台车尾","3","","Line 1:Helicopter ladder  Xinzhuang direction to the rear of the platform"			
0117,"1号线:付费区  往莘庄方向站台车头,4号线:付费区  外圈车头","1","1","Line 1:Pay Zone  Xinzhuang direction to the front of the platform,Line 4:Pay Zone  Outer front"			
