INPUTDATE,"LINE_NO","TRAINDIAGRAMID"
20150503,"05","2014_10_30_15_51_10"
20150503,"06","2014_10_30_15_56_40"
20150503,"07","2014_10_30_16_7_31"
20150503,"08","2014_10_30_16_16_22"
20150503,"09","2014_10_30_16_34_39"
20150503,"10","2015_4_2_10_28_24"
20150503,"11","2014_10_30_17_3_36"
20150503,"12","2014_10_30_20_0_19"
20150410,"07","2014_10_30_16_4_28"
20150503,"13","2014_12_31_18_54_08"
20150503,"16","2015_4_8_10_55_56"
20150506,"01","2014_10_30_11_38_24"
20150503,"03/04","2014_12_31_18_25_05"
20150506,"02","2014_11_28_18_44_23"
20150506,"03/04","2014_12_31_11_20_30"
20150506,"05","2014_10_30_15_49_09"
20150506,"06","2014_10_30_15_53_39"
20150506,"07","2014_10_30_16_4_28"
20150506,"08","2014_10_30_16_13_21"
20150506,"09","2014_10_30_16_31_38"
20150506,"10","2015_4_2_10_29_29"
20150506,"11","2015_4_2_10_31_39"
20150506,"12","2014_10_30_20_1_20"
20150506,"13","2014_12_31_18_53_07"
20150506,"16","2015_4_8_10_56_60"
20150507,"01","2014_10_30_11_38_24"
20150507,"02","2014_11_28_18_44_23"
20150507,"03/04","2014_12_31_11_20_30"
20150507,"05","2014_10_30_15_49_09"
20150507,"06","2014_10_30_15_53_39"
20150507,"07","2014_10_30_16_4_28"
20150507,"08","2014_10_30_16_13_21"
20150507,"09","2014_10_30_16_31_38"
20150507,"10","2015_4_2_10_29_29"
20150507,"11","2015_4_2_10_31_39"
20150507,"12","2014_10_30_20_1_20"
20150507,"13","2014_12_31_18_53_07"
20150507,"16","2015_4_8_10_56_60"
20150509,"03/04","2014_12_31_18_25_05"
20150509,"05","2014_10_30_15_51_10"
20150509,"06","2014_10_30_15_56_40"
20150509,"07","2014_10_30_16_7_31"
20150509,"08","2014_10_30_16_16_22"
20150509,"09","2014_10_30_16_34_39"
20150509,"10","2015_4_2_10_28_24"
20150509,"11","2014_10_30_17_3_36"
20150509,"12","2014_10_30_20_0_19"
20150509,"13","2014_12_31_18_54_08"
20150509,"16","2015_4_8_10_55_56"
20150510,"01","2014_10_30_11_40_25"
20150510,"02","2014_10_30_15_6_25"
20150410,"08","2014_10_30_16_13_21"
20150410,"09","2014_10_30_16_31_38"
20150410,"10","2015_4_2_10_29_29"
20150614,"11","2014_10_30_17_3_36"
20150614,"12","2014_10_30_20_0_19"
20150510,"03/04","2014_12_31_18_25_05"
20150510,"05","2014_10_30_15_51_10"
20150510,"06","2014_10_30_15_56_40"
20150510,"07","2014_10_30_16_7_31"
20150510,"08","2014_10_30_16_16_22"
20150510,"09","2014_10_30_16_34_39"
