ST_NO,"FIRST_T_TIME","LAST_T_TIME","DESTINATION","DRAWING_NO"
000101,"—","—","000138","2014_10_30_11_38_24"
000101,"—","—","000126","2014_10_30_11_38_24"
000101,"—","—","000138","2014_10_30_11_43_26"
000101,"—","—","000126","2014_10_30_11_40_25"
000101,"—","—","000126","2014_10_30_11_43_26"
000101,"—","—","000111","2014_10_30_11_38_24"
000101,"—","—","000138","2014_10_30_11_40_25"
000101,"—","—","000111","2014_10_30_11_40_25"
000101,"—","—","000111","2014_10_30_11_43_26"
000111,"19800","81120","000126","2014_10_30_11_38_24"
000111,"19214","81120","000138","2014_10_30_11_40_25"
000111,"—","—","000111","2014_10_30_11_40_25"
000111,"19214","81120","000126","2014_10_30_11_40_25"
000111,"—","—","000111","2014_10_30_11_43_26"
000111,"—","—","000111","2014_10_30_11_38_24"
000111,"19800","81120","000138","2014_10_30_11_43_26"
000111,"19800","81120","000138","2014_10_30_11_38_24"
000111,"19800","81120","000126","2014_10_30_11_43_26"
000112,"19932","81252","000126","2014_10_30_11_38_24"
000112,"21765","84765","000111","2014_10_30_11_43_26"
000112,"19354","81252","000126","2014_10_30_11_40_25"
000112,"19932","81252","000138","2014_10_30_11_43_26"
000112,"21765","84765","000111","2014_10_30_11_38_24"
000112,"19932","81252","000126","2014_10_30_11_43_26"
000112,"21765","84765","000111","2014_10_30_11_40_25"
000112,"19932","81252","000138","2014_10_30_11_38_24"
000112,"19354","81252","000138","2014_10_30_11_40_25"
000114,"20235","81555","000126","2014_10_30_11_38_24"
000114,"21473","84473","000111","2014_10_30_11_40_25"
000114,"20235","81555","000138","2014_10_30_11_43_26"
000114,"20235","81555","000126","2014_10_30_11_43_26"
000114,"19667","81555","000138","2014_10_30_11_40_25"
000114,"21473","84473","000111","2014_10_30_11_43_26"
000114,"20235","81555","000138","2014_10_30_11_38_24"
000114,"21473","84473","000111","2014_10_30_11_38_24"
000114,"19667","81555","000126","2014_10_30_11_40_25"
000116,"17871","81935","000126","2014_10_30_11_43_26"
000116,"17871","81935","000126","2014_10_30_11_40_25"
000116,"21091","84091","000111","2014_10_30_11_38_24"
000116,"17871","81935","000126","2014_10_30_11_38_24"
000116,"21091","84091","000111","2014_10_30_11_43_26"
000116,"19251","81935","000138","2014_10_30_11_40_25"
000116,"19251","81935","000138","2014_10_30_11_38_24"
000116,"21091","84091","000111","2014_10_30_11_40_25"
000116,"19251","81935","000138","2014_10_30_11_43_26"
000117,"18022","82086","000126","2014_10_30_11_38_24"
000117,"20951","83951","000111","2014_10_30_11_43_26"
000117,"19402","82086","000138","2014_10_30_11_40_25"
000117,"18022","82086","000126","2014_10_30_11_40_25"
000117,"20951","83951","000111","2014_10_30_11_38_24"
000117,"19402","82086","000138","2014_10_30_11_43_26"
000117,"19402","82086","000138","2014_10_30_11_38_24"
000117,"18022","82086","000126","2014_10_30_11_43_26"
000117,"20951","83951","000111","2014_10_30_11_40_25"
000118,"20813","83813","000111","2014_10_30_11_38_24"
000118,"19539","82223","000138","2014_10_30_11_38_24"
000118,"18159","82223","000126","2014_10_30_11_38_24"
000118,"20813","83813","000111","2014_10_30_11_40_25"
000118,"18159","82223","000126","2014_10_30_11_43_26"
000118,"19539","82223","000138","2014_10_30_11_40_25"
000118,"20813","83813","000111","2014_10_30_11_43_26"
